Language_ID	Language_Name	Language_Macroarea	Language_Family_Name	Parameters_Coded	Mean_Similarity
arab1267	Arabana	Australia	Pama-Nyungan	62	63.8889130434783
arak1252	Araki	Papunesia	Austronesian	194	67.6071613712375
aram1253	Arammba	Papunesia	Yam	92	59.336852006689
arao1248	Araona	South America	Pano-Tacanan	193	63.9384740802676
arap1274	Arapaho	North America	Algic	188	65.8445359531773
araw1273	Araweté	South America	Tupian	148	67.0994648829431
araw1276	Lokono	South America	Arawakan	136	64.5368143812709
arbo1245	Arbore	Africa	Afro-Asiatic	170	66.6485785953177
arch1244	Archi	Eurasia	Nakh-Daghestanian	148	61.807474916388
area1240	'Are'are	Papunesia	Austronesian	195	66.2982859531773
aree1239	Are	Papunesia	Austronesian	157	69.295631270903
argo1244	Argobba	Africa	Afro-Asiatic	184	63.5100836120401
arhu1242	Arhuaco	South America	Chibchan	156	63.4620903010033
arib1241	Aribwatsa	Papunesia	Austronesian	121	63.0958653846154
arig1246	Arigidi	Africa	Atlantic-Congo	142	66.8402006688963
arik1265	Arikapú	South America	Nuclear-Macro-Je	79	71.6287081939799
arom1237	Aromanian	Eurasia	Indo-European	165	60.2691471571906
arop1242	Arop-Sissano	Papunesia	Austronesian	164	66.9025877926421
arop1243	Arop-Lokep	Papunesia	Austronesian	161	70.0517098662207
aros1241	Arosi	Papunesia	Austronesian	141	68.6417224080268
arta1239	Arta	Papunesia	Austronesian	184	64.6016095317726
asha1243	Asháninka	South America	Arawakan	91	56.7464297658863
ashe1272	Ashéninka Perené	South America	Arawakan	193	63.9977759197324
asoa1238	Asoa	Africa	Central Sudanic	94	69.3923578595318
assi1247	Assiniboine	North America	Siouan	185	65.3718394648829
asur1254	Asuri	Eurasia	Austroasiatic	149	68.7707943143813
asut1235	Asu (Tanzania)	Africa	Atlantic-Congo	140	66.9738127090301
atak1252	Atakapa	North America		149	66.2995944816054
atam1239	Atampaya	Australia	Pama-Nyungan	87	63.4585367892977
atam1240	Ata Manobo	Papunesia	Austronesian	160	67.971233277592
atay1247	Atayal	Papunesia	Austronesian	129	65.9825
athp1241	Athpariya	Eurasia	Sino-Tibetan	182	64.9980016722408
atii1237	Ati	Papunesia	Austronesian	115	68.2959723964868
aton1241	Atong (India)	Eurasia	Sino-Tibetan	194	65.1303553511706
aulu1238	Aulua	Papunesia	Austronesian	160	67.5911496655518
auuu1241	Au	Papunesia	Nuclear Torricelli	159	65.1850334448161
auye1238	Auye	Papunesia	Nuclear Trans New Guinea	179	64.7886538461538
avac1239	Avá-Canoeiro	South America	Tupian	153	68.8605560200669
avat1244	Avatime	Africa	Atlantic-Congo	130	62.6786831103679
avok1242	Avokaya	Africa	Central Sudanic	122	69.796852006689
awab1243	Awabakal	Australia	Pama-Nyungan	67	66.6607065217391
awac1239	Awa-Cuaiquer	South America	Barbacoan	157	67.4403177257525
awad1243	Awadhi	Eurasia	Indo-European	173	64.7747951505017
awad1244	Awad Bing	Papunesia	Austronesian	162	66.0277633779264
awap1236	Awa (Papua New Guinea)	Papunesia	Nuclear Trans New Guinea	136	64.4111580267559
awar1248	Awara	Papunesia	Nuclear Trans New Guinea	136	63.2749038461538
awar1249	Awar	Papunesia	Lower Sepik-Ramu	165	66.6088837792642
awet1244	Awetí	South America	Tupian	161	64.9527884615385
awji1241	Awjilah	Africa	Afro-Asiatic	145	61.9754389632107
awtu1239	Awtuw	Papunesia	Sepik	138	63.1609364548495
axam1237	Axamb	Papunesia	Austronesian	195	64.3338377926421
axiy1235	Axi Yi	Eurasia	Sino-Tibetan	166	68.3638503344482
ayac1239	Ayacucho Quechua	South America	Quechuan	166	66.6769565217391
ayiw1239	Äiwoo	Papunesia	Austronesian	172	65.05625
azha1235	Azha	Eurasia	Sino-Tibetan	151	69.1711287625418
baba1264	Baba	Africa	Atlantic-Congo	147	64.4296070234114
baba1266	Babanki	Africa	Atlantic-Congo	159	66.854352006689
baba1267	Baba Malay	Eurasia	Austronesian	191	69.1457817725752
baba1268	Babatana	Papunesia	Austronesian	138	68.0332566889632
babi1235	Witsuwit'en-Babine	North America	Athabaskan-Eyak-Tlingit	169	65.2198996655518
bada1257	Badaga	Eurasia	Dravidian	127	68.1965719063545
bafa1247	Bafaw-Balong	Africa	Atlantic-Congo	130	63.0127801003344
bafi1243	Bafia	Africa	Atlantic-Congo	173	67.3009991638796
bafu1246	Bafut	Africa	Atlantic-Congo	190	66.093118729097
baga1272	Baga Sitemu	Africa	Atlantic-Congo	140	66.8679306020067
baga1273	Baga Koga	Africa	Atlantic-Congo	104	61.5130309364548
bagi1246	Bagirmi	Africa	Central Sudanic	167	69.1639841137124
bagv1239	Bagvalal	Eurasia	Nakh-Daghestanian	170	62.9370192307692
baha1259	Baharna Arabic	Eurasia	Afro-Asiatic	147	63.4410242474916
baha1260	Bahamas Creole English	North America	Indo-European	103	68.0445443143813
bahi1252	Bahing	Eurasia	Sino-Tibetan	161	66.1938712374582
bahn1262	Bahnar	Eurasia	Austroasiatic	117	67.4423913043478
baik1238	Baikeno	Papunesia	Austronesian	103	65.9254180602007
baim1244	Baima	Eurasia	Sino-Tibetan	193	68.6914088628763
baka1272	Baka (Cameroon)	Africa	Atlantic-Congo	148	71.313779264214
baka1274	Baka (South Sudan)	Africa	Central Sudanic	137	67.0832107023411
baki1244	Baki	Papunesia	Austronesian	152	67.4297157190636
bala1311	Balangingi	Papunesia	Austronesian	153	68.2301714046823
bala1315	Balantak	Papunesia	Austronesian	178	67.9615886287625
bala1316	Balade	Papunesia	Austronesian	152	61.8339799331104
bali1278	Balinese	Papunesia	Austronesian	167	61.6126379598662
balo1261	Loi-Likila	Africa	Atlantic-Congo	117	65.5975418060201
balu1257	Paluai	Papunesia	Austronesian	193	64.339402173913
bamb1262	Bambassi	Africa	Blue Nile Mao	99	60.2015468227425
bamb1266	Bambili-Bambui	Africa	Atlantic-Congo	32	60.9011710581347
bamb1269	Bambara	Africa	Mande	104	69.047495819398
bamb1270	Bambam	Papunesia	Austronesian	134	64.7886914715719
bamu1253	Bamun	Africa	Atlantic-Congo	159	63.7147700668896
bamw1238	Bamwe	Africa	Atlantic-Congo	102	64.0248787625418
bana1288	Banao Itneg	Papunesia	Austronesian	24	52.4127021365731
band1340	Bandial	Africa	Atlantic-Congo	87	61.5297951505017
band1344	Banda-Bambari	Africa	Atlantic-Congo	176	68.5124080267558
bang1354	Bobangi	Africa	Atlantic-Congo	151	64.4205894648829
bang1363	Bangime	Africa		127	66.3174331103679
bang1369	Bangru	Eurasia	Sino-Tibetan	151	71.079360367893
bani1255	Baniwa do Icana	South America	Arawakan	85	54.5248662207358
bank1256	Bankon	Africa	Atlantic-Congo	78	65.7406362494768
bann1247	Bannoni	Papunesia	Austronesian	72	65.0215050167224
bant1281	Bantawa	Eurasia	Sino-Tibetan	181	64.3345025083612
bant1288	Bantoanon	Papunesia	Austronesian	124	68.3472282608696
bara1357	Baraamu	Eurasia	Sino-Tibetan	171	67.1444857859532
bara1361	Barambu	Africa	Atlantic-Congo	128	67.0085869565217
bara1369	Bara Malagasy	Africa	Austronesian	126	63.2797324414716
bara1370	Baram Kayan	Papunesia	Austronesian	143	70.6874414715719
bara1380	Barasana-Eduria	South America	Tucanoan	65	52.8644081974069
bard1255	Bardi	Australia	Nyulnyulan	94	58.333758361204
bare1276	Baré	South America	Arawakan	117	63.6636245819398
bare1279	Barain	Africa	Afro-Asiatic	125	63.0816889632107
barg1252	Bargam	Papunesia	Nuclear Trans New Guinea	152	62.0009406354515
bari1286	Bariai	Papunesia	Austronesian	176	68.5630434782609
baro1253	Barok	Papunesia	Austronesian	165	64.8466555183947
basa1282	Basa (Nigeria)	Africa	Atlantic-Congo	115	68.7483695652174
basa1287	Basay	Papunesia	Austronesian	106	70.503106187291
bash1264	Bashkir	Eurasia	Turkic	161	67.4263252508361
basq1248	Basque	Eurasia		188	64.7723244147157
bata1285	Batanga	Africa	Atlantic-Congo	113	67.0491387959866
bata1289	Batak Toba	Papunesia	Austronesian	168	67.3645610367893
bata1293	Batak Karo	Papunesia	Austronesian	103	62.0566471571906
bats1242	Bats	Eurasia	Nakh-Daghestanian	148	65.0502466555184
baur1253	Baure	South America	Arawakan	168	61.1408319397993
bauz1241	Bauzi	Papunesia	Geelvink Bay	93	62.0796530100334
bawm1236	Bawm Chin	Eurasia	Sino-Tibetan	160	68.7866178929766
bayb1234	Baybayanon	Papunesia	Austronesian	149	63.2502341137124
bayo1255	Kugere-Kuxinge	Africa	Atlantic-Congo	58	57.7521371810958
bebe1248	Bebele	Africa	Atlantic-Congo	184	67.303102006689
beel1236	Beele	Africa	Afro-Asiatic	52	67.273762541806
beem1239	Beembe	Africa	Atlantic-Congo	144	64.7151379598662
beja1238	Beja	Africa	Afro-Asiatic	121	53.8854389632107
beka1241	Riuk Bekati'	Papunesia	Austronesian	179	65.6575919732442
bekw1241	Bekwarra	Africa	Atlantic-Congo	157	68.3324331103679
bekw1242	Bekwil	Africa	Atlantic-Congo	100	67.769995819398
bela1254	Belarusian	Eurasia	Indo-European	190	60.2585827759197
bela1256	Belanda Bor	Africa	Nilotic	76	63.1223871237458
bela1260	Lemeting	Papunesia	Austronesian	92	60.664970735786
belh1239	Belhariya	Eurasia	Sino-Tibetan	166	65.4536663879599
beli1257	Beli (South Sudan)	Africa	Central Sudanic	133	69.9725877926421
beli1260	Belize Kriol English	North America	Indo-European	130	67.6607065217391
bell1243	Bella Coola	North America	Salishan	191	61.3050710702341
belu1239	Belueli	Africa	Atlantic-Congo	73	67.3728511705686
bemb1257	Bemba (Zambia)	Africa	Atlantic-Congo	183	61.999368729097
bena1262	Bena (Tanzania)	Africa	Atlantic-Congo	93	62.564397993311
benc1235	Bench	Africa	Ta-Ne-Omotic	82	62.7719029694688
beng1282	Benga	Africa	Atlantic-Congo	132	67.2298578595318
bent1238	Ben Tey Dogon	Africa	Dogon	170	65.2590133779264
bera1262	Berau Malay	Papunesia	Austronesian	11	67.0777142857143
berb1259	Berbice Creole Dutch	South America	Indo-European	170	69.7343311036789
bert1248	Berta	Africa		119	68.2366889632107
beta1252	Betawi	Papunesia	Austronesian	170	68.0790175585284
beto1236	Betoi-Jirara	South America		130	64.0801964882943
bezh1248	Bezhta	Eurasia	Nakh-Daghestanian	158	64.9539297658863
bhoj1244	Bhojpuri	Eurasia	Indo-European	171	67.4476964882943
biaf1240	Biafada	Africa	Atlantic-Congo	123	65.2714673913043
biak1248	Biak	Papunesia	Austronesian	100	60.0523536789298
bian1252	Biangai	Papunesia	Goilalan	155	67.5082190635452
biao1253	Shidong Biao	Eurasia	Tai-Kadai	175	67.6546697324415
biao1254	Biao-Jiao Mien	Eurasia	Hmong-Mien	191	68.1532943143813
biao1256	Biao Mon	Eurasia	Hmong-Mien	189	68.5180643812709
biat1246	Biatah Bidayuh	Papunesia	Austronesian	137	69.6827424749164
bidy1244	Kanyaki-Kagbaaga-Kajoko Bidyogo	Africa	Atlantic-Congo	138	61.7086245819398
bier1244	Bierebo	Papunesia	Austronesian	186	61.9696864548495
bign1238	Big Nambas	Papunesia	Austronesian	181	68.493766722408
biha1246	Bih	Eurasia	Austronesian	182	70.1347575250836
bila1255	Bila	Africa	Atlantic-Congo	134	65.9222658862876
bilb1241	Bilibil	Papunesia	Austronesian	141	66.9974540133779
bili1260	Bilin	Africa	Afro-Asiatic	157	64.0712834448161
bilu1245	Bilua	Papunesia		102	59.8097366220736
bimi1240	Bimin	Papunesia	Nuclear Trans New Guinea	172	64.4683862876254
bina1277	Binandere	Papunesia	Nuclear Trans New Guinea	150	67.679393812709
bine1240	Bine	Papunesia	Eastern Trans-Fly	88	60.1752675585284
bini1246	Bini	Africa	Atlantic-Congo	177	67.8583528428094
binu1244	Talaandig-Binukid	Papunesia	Austronesian	108	64.0466011705686
bira1253	Ongota	Africa		163	66.9808026755853
biri1256	Biri	Australia	Pama-Nyungan	146	68.5745610367893
birr1240	Birri	Africa	Central Sudanic	120	63.8498327759197
bisl1239	Bislama	Papunesia	Indo-European	185	67.0607107023411
bisu1244	Bisu	Eurasia	Sino-Tibetan	187	66.5901588628763
bitt1240	Bit	Eurasia	Austroasiatic	153	66.9166722408027
biwa1243	Biwat	Papunesia	Yuat	153	67.7909908026756
blab1237	Blablanga	Papunesia	Austronesian	169	64.8813837792642
blan1242	Blang	Eurasia	Austroasiatic	159	70.420652173913
bobo1255	Bobongko	Papunesia	Austronesian	73	69.391861145964
bodo1267	Bodo Gadaba	Eurasia	Austroasiatic	141	68.5382399665552
bodo1269	Bodo-Mech	Eurasia	Sino-Tibetan	167	67.5823118729097
bodo1272	Bodo (Central African Republic)	Africa	Atlantic-Congo	26	57.4603302675585
boht1238	Gardabani Bohtan Neo-Aramaic	Eurasia	Afro-Asiatic	166	62.0072115384615
boka1249	Bokar-Ramo	Eurasia	Sino-Tibetan	151	66.4972449832776
bola1250	Bola	Papunesia	Austronesian	193	66.4431730769231
bolg1251	Bolgo	Africa	Atlantic-Congo	78	69.9957734113712
boli1256	Bolinao	Papunesia	Austronesian	60	65.2838043478261
bolo1262	Boloki	Africa	Atlantic-Congo	144	63.8905058528428
boly1239	Bolyu	Eurasia	Austroasiatic	166	66.0132566889632
bomb1262	Bomboma	Africa	Atlantic-Congo	119	64.5702132107023
bomk1234	Bom-Kim	Africa	Atlantic-Congo	140	64.5436329431438
bona1250	Bonan	Eurasia	Mongolic-Khitan	171	66.7093227424749
bond1245	Bondo	Eurasia	Austroasiatic	152	66.3169648829431
bond1247	Bondei	Africa	Atlantic-Congo	151	64.9916137123746
bong1284	Bongili	Africa	Atlantic-Congo	102	63.1854724080268
bong1285	Bongo	Africa	Central Sudanic	146	67.5236914715719
bong1289	Bonggi	Papunesia	Austronesian	150	69.3354138795987
bora1263	Bora	South America	Boran	173	58.7076463210702
bora1271	Borana-Arsi-Guji Oromo	Africa	Afro-Asiatic	78	61.3505476588629
bord1248	Border Kuna	South America	Chibchan	162	67.1171362876254
bori1243	Bori-Karko	Eurasia	Sino-Tibetan	152	67.2791471571906
boro1277	Boro (Ethiopia)	Africa	Ta-Ne-Omotic	176	64.3259489966555
boro1282	Bororo	South America	Bororoan	184	66.9827382943144
boru1252	Boruca	North America	Chibchan	117	68.5573871237458
boto1242	Botolan Sambal	Papunesia	Austronesian	175	67.1475418060201
boun1243	Bouna Kulango	Africa	Atlantic-Congo	179	67.2845652173913
boun1245	Bo-Ung	Papunesia	Nuclear Trans New Guinea	145	66.4838043478261
bouy1240	Bouyei	Eurasia	Tai-Kadai	95	65.0320317725753
brah1256	Brahui	Eurasia	Dravidian	151	66.3353177257525
bret1244	Breton	Eurasia	Indo-European	189	60.7501588628763
brib1243	Bribri	North America	Chibchan	163	62.6659448160535
bube1242	Bube	Africa	Atlantic-Congo	135	63.1383821070234
bubi1250	Bubi	Africa	Atlantic-Congo	144	64.6305813467169
budu1248	Budukh	Eurasia	Nakh-Daghestanian	158	67.1251839464883
budu1265	Buduma	Africa	Afro-Asiatic	137	66.072495819398
budz1238	Budza	Africa	Atlantic-Congo	166	67.8326379598662
buga1247	Bugan	Eurasia	Austroasiatic	190	70.8629640468227
buga1250	Bugawac	Papunesia	Austronesian	191	66.1745819397993
bugh1239	Bughotu	Papunesia	Austronesian	131	65.7414799331104
bugi1244	Buginese	Papunesia	Austronesian	183	66.5355351170569
bugl1243	Buglere	North America	Chibchan	157	65.7484239130435
bugu1246	Bugun	Eurasia	Sino-Tibetan	101	72.3668269230769
buhu1237	Buhutu	Papunesia	Austronesian	134	69.5435117056856
bujh1238	Bujhyal	Eurasia	Sino-Tibetan	179	64.6279013377926
buka1257	Bukar-Sadung Bidayuh	Papunesia	Austronesian	132	69.6050418060201
buki1249	Bukiyip	Papunesia	Nuclear Torricelli	90	58.7059030100334
buku1249	Bukusu	Africa	Atlantic-Congo	52	57.9050815558344
bula1255	Bularnu	Australia	Pama-Nyungan	114	64.0483235785953
bull1247	Bullom So	Africa	Atlantic-Congo	165	62.9026505016722
bulo1242	Bulo Stieng	Eurasia	Austroasiatic	185	70.1290510033445
bulu1251	Bulu (Cameroon)	Africa	Atlantic-Congo	164	66.7163586956522
buna1276	Bunama	Papunesia	Austronesian	125	68.5194857859532
buna1278	Bunak	Papunesia	Timor-Alor-Pantar	96	60.5730267558528
bund1253	Bundeli	Eurasia	Indo-European	173	63.4174581939799
bunu1267	Bunun	Papunesia	Austronesian	74	61.9334280936455
buol1237	Buol	Papunesia	Austronesian	117	65.1660576923077
bura1267	Burarra	Australia	Maningrida	87	58.5736413043478
bura1292	Bura-Pabir	Africa	Afro-Asiatic	147	69.3330894648829
bure1242	Bure	Africa	Afro-Asiatic	124	63.8513963210702
burj1242	Burji	Africa	Afro-Asiatic	187	61.0696697324415
burm1264	Burmeso	Papunesia		65	59.5562442492681
buru1296	Burushaski	Eurasia		159	59.4737834448161
buru1303	Buru (Indonesia)	Papunesia	Austronesian	102	64.4128428093645
buru1320	Burunge	Africa	Afro-Asiatic	180	65.3785744147157
busa1253	Busa	Africa	Mande	171	67.3723996655518
bush1247	Bushoong	Africa	Atlantic-Congo	184	66.2792516722408
buta1242	Butam	Papunesia	Taulil-Butam	76	59.5250543478261
buwa1243	Buwal	Africa	Afro-Asiatic	191	68.8153177257525
bwai1242	Bwaidoka	Papunesia	Austronesian	153	65.6959030100334
bwat1240	Bwatoo	Papunesia	Austronesian	188	64.2300627090301
byan1241	Byangsi	Eurasia	Sino-Tibetan	182	66.0379180602007
caac1237	Caac	Papunesia	Austronesian	151	64.3079306020067
cabe1245	Cabécar	North America	Chibchan	139	63.758737458194
cacu1241	Kakua	South America	Kakua-Nukak	168	66.2528135451505
cahu1264	Cahuilla	North America	Uto-Aztecan	190	64.9233737458194
cakf1236	Cakfem-Mushere-Jibyal	Africa	Afro-Asiatic	173	67.0364464882943
cald1236	Calderón Highland Quichua	South America	Quechuan	155	67.7454891304348
caml1239	Camling	Eurasia	Sino-Tibetan	170	67.2524331103679
camp1261	Campidanese Sardinian	Eurasia	Indo-European	181	61.1079765886288
cams1241	Camsá	South America		124	63.5913043478261
cane1242	Canela-Krahô	South America	Nuclear-Macro-Je	173	64.4579473244147
cani1243	Canichana	South America		50	70.7792558528428
caom1238	Cao Miao	Eurasia	Tai-Kadai	183	67.7847240802676
capa1241	Capanahua	South America	Pano-Tacanan	171	65.9998829431438
cari1276	Caribbean Javanese	South America	Austronesian	97	65.8835549979088
carn1240	Car Nicobarese	Eurasia	Austroasiatic	184	66.8830100334448
caro1242	Carolinian	Papunesia	Austronesian	154	66.0092683946488
casi1235	Casiguran-Nagtipunan Agta	Papunesia	Austronesian	133	65.4570150501672
cata1286	Catawba	North America	Siouan	125	69.3829055183947
cavi1250	Cavineña	South America	Pano-Tacanan	151	62.6393352842809
cayu1262	Cayubaba	South America		131	65.7780351170569
cebu1242	Cebuano	Papunesia	Austronesian	84	64.1617056856187
cemu1238	Cemuhî	Papunesia	Austronesian	180	63.9428219063545
cent1972	Central Kurdish	Eurasia	Indo-European	15	56.6942333614153
cent1989	Central Khmer	Eurasia	Austroasiatic	177	67.0253762541806
cent1990	Central Nicobarese	Eurasia	Austroasiatic	169	63.7207692307692
cent1992	Central Mnong	Eurasia	Austroasiatic	190	67.5258193979933
cent2004	Central Bai	Eurasia	Sino-Tibetan	162	66.8346780936455
cent2050	Central Kanuri	Africa	Saharan	173	68.8847993311037
cent2058	Central Maewo	Papunesia	Austronesian	110	66.6221464435147
cent2084	Central Cagayan Agta	Papunesia	Austronesian	174	66.5097115384615
cent2087	Coastal-Naga Bikol	Papunesia	Austronesian	156	65.4958946488294
cent2090	Central Tagbanwa	Papunesia	Austronesian	166	69.5005183946488
cent2091	Central Palawano	Papunesia	Austronesian	90	63.665012541806
cent2100	Central Dusun	Papunesia	Austronesian	138	66.380029264214
cent2126	Central Okinawan	Eurasia	Japonic	153	68.4201881270903
cent2127	Central Alaskan Yupik	North America	Eskimo-Aleut	194	62.3788419732441
cent2131	Central Tarahumara	North America	Uto-Aztecan	178	66.1852132107023
cent2140	Central Sierra Miwok	North America	Miwok-Costanoan	167	66.3639088628763
cent2142	Central Aymara	South America	Aymaran	160	63.8852048494983
cent2150	Central Tunebo	South America	Chibchan	159	67.2860660535117
cent2292	Central Bontoc	Papunesia	Austronesian	178	62.0326463210702
cent2314	Central Chong	Eurasia	Austroasiatic	187	68.3905602006689
cent2322	Central Mansi	Eurasia	Uralic	185	68.1236078595318
chac1249	Cha'palaa	South America	Barbacoan	91	62.5988503344482
chac1251	Chácobo	South America	Pano-Tacanan	176	61.3749205685619
chad1249	Chadian Arabic	Africa	Afro-Asiatic	146	64.709356187291
chak1270	Chak	Eurasia	Sino-Tibetan	188	68.3214506688963
chak1271	Chakali	Africa	Atlantic-Congo	191	66.9542349498328
