Language_ID	Language_Name	Language_Macroarea	Language_Family_Name	Parameters_Coded	Mean_Similarity	Median_Similarity	Similarity_SD
anuu1241	Anu-Hkongso	Eurasia	Sino-Tibetan	190	65.5326003344482	65.665	7.25403427253194
aona1235	Ao Naga	Eurasia	Sino-Tibetan	185	67.3027717391304	67.68	6.32460336678296
aoua1234	A'ou	Eurasia	Tai-Kadai	187	69.0394523411371	68.67	8.42548715919428
apat1240	Apatani	Eurasia	Sino-Tibetan	170	67.5508235785953	67.96	6.49347011313873
apin1244	Apinayé	South America	Nuclear-Macro-Je	181	64.0718102006689	64.24	6.24186322243538
apma1240	Apma	Papunesia	Austronesian	194	68.7578971571906	68.94	6.64047389639282
apma1241	Ap Ma	Papunesia	Keram	126	68.2150668896321	68.81	7.78331454826909
apol1242	Apolista	South America	Arawakan	14	47.9814740368509	46.15	17.7713051874391
apur1254	Apurinã	South America	Arawakan	155	64.4236245819398	64.48	5.40029219413608
arab1267	Arabana	Australia	Pama-Nyungan	62	63.8889130434783	63.93	7.98918429726334
arak1252	Araki	Papunesia	Austronesian	194	67.6071613712375	66.86	8.50903561932474
aram1253	Arammba	Papunesia	Yam	92	59.336852006689	59.49	6.62038684334262
arao1248	Araona	South America	Pano-Tacanan	193	63.9384740802676	63.64	5.99895877381101
arap1274	Arapaho	North America	Algic	188	65.8445359531773	66.255	5.98619224281385
araw1273	Araweté	South America	Tupian	148	67.0994648829431	67.44	6.12794068961006
araw1276	Lokono	South America	Arawakan	136	64.5368143812709	64.76	5.40077202706475
arbo1245	Arbore	Africa	Afro-Asiatic	170	66.6485785953177	66.91	5.17269263816343
arch1244	Archi	Eurasia	Nakh-Daghestanian	148	61.807474916388	61.565	6.26786131512996
area1240	'Are'are	Papunesia	Austronesian	195	66.2982859531773	65.94	7.10289516823794
aree1239	Are	Papunesia	Austronesian	157	69.295631270903	69.895	6.03562473777425
argo1244	Argobba	Africa	Afro-Asiatic	184	63.5100836120401	63.455	5.65567781848309
arhu1242	Arhuaco	South America	Chibchan	156	63.4620903010033	63.195	6.35293815744553
arib1241	Aribwatsa	Papunesia	Austronesian	121	63.0958653846154	62.845	7.58706095528507
arig1246	Arigidi	Africa	Atlantic-Congo	142	66.8402006688963	66.67	8.0135367254762
arik1265	Arikapú	South America	Nuclear-Macro-Je	79	71.6287081939799	72.15	7.48492294414907
arom1237	Aromanian	Eurasia	Indo-European	165	60.2691471571906	60.13	6.4477192547862
arop1242	Arop-Sissano	Papunesia	Austronesian	164	66.9025877926421	67.17	6.33694609855131
arop1243	Arop-Lokep	Papunesia	Austronesian	161	70.0517098662207	70.14	6.73471317629631
aros1241	Arosi	Papunesia	Austronesian	141	68.6417224080268	68.09	8.55181578385765
arta1239	Arta	Papunesia	Austronesian	184	64.6016095317726	64.69	6.58143176227877
asha1243	Asháninka	South America	Arawakan	91	56.7464297658863	56.58	6.96606642479313
ashe1272	Ashéninka Perené	South America	Arawakan	193	63.9977759197324	63.91	4.98288788056037
asoa1238	Asoa	Africa	Central Sudanic	94	69.3923578595318	70	7.61213096923554
assi1247	Assiniboine	North America	Siouan	185	65.3718394648829	65.61	5.23975348719661
asur1254	Asuri	Eurasia	Austroasiatic	149	68.7707943143813	68.9	6.71538163613559
asut1235	Asu (Tanzania)	Africa	Atlantic-Congo	140	66.9738127090301	66.67	7.0740246988854
atak1252	Atakapa	North America		149	66.2995944816054	66.67	6.15541912899145
atam1239	Atampaya	Australia	Pama-Nyungan	87	63.4585367892977	62.985	7.85985645464106
atam1240	Ata Manobo	Papunesia	Austronesian	160	67.971233277592	68.53	6.17528323131531
atay1247	Atayal	Papunesia	Austronesian	129	65.9825	66.07	6.67858712553099
athp1241	Athpariya	Eurasia	Sino-Tibetan	182	64.9980016722408	64.63	6.31289655567266
atii1237	Ati	Papunesia	Austronesian	115	68.2959723964868	68.97	7.30941102877121
aton1241	Atong (India)	Eurasia	Sino-Tibetan	194	65.1303553511706	65.765	6.29699504782647
aulu1238	Aulua	Papunesia	Austronesian	160	67.5911496655518	67.33	7.57647208749045
auuu1241	Au	Papunesia	Nuclear Torricelli	159	65.1850334448161	65.31	7.30782527470654
auye1238	Auye	Papunesia	Nuclear Trans New Guinea	179	64.7886538461538	64.57	5.98830092755083
avac1239	Avá-Canoeiro	South America	Tupian	153	68.8605560200669	69.35	6.57563377796934
avat1244	Avatime	Africa	Atlantic-Congo	130	62.6786831103679	62.5	6.87671695762944
avok1242	Avokaya	Africa	Central Sudanic	122	69.796852006689	70	7.47080471187109
awab1243	Awabakal	Australia	Pama-Nyungan	67	66.6607065217391	66.67	8.63645258301855
awac1239	Awa-Cuaiquer	South America	Barbacoan	157	67.4403177257525	68	7.17810127516838
